Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
Compartments Curated	COMPARTMENTS is a database of protein subcellular localization evidence, using evidence collected by integrating experimental datasets, by integrating sequence-based predictions, by manual literature curation, or by automated textmining.  Subcellular structure/compartment terms were mapped to the Cellular Component subset of the Gene Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-compartment associations.	protein subcellular localization evidence scores by manual literature curation	gene-cellular compartment associations by integrating evidence from manual literature curation	cellular compartment	functional phrase	16738	1463	http://compartments.jensenlab.org/Search	http://download.jensenlab.org/human_compartment_knowledge_full.tsv	http://compartments.jensenlab.org/About	20150202	24573882	Binder, J. X., Pletscher-Frankild, S., Tsafou, K., Stolte, C., O'Donoghue, S. I., Schneider, R. and L. J. Jensen. (2014) COMPARTMENTS: unification and visualization of protein subcellular localization evidence. Database. 2014:bau012.	notspecified	jensencompartmentcurated	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Tissues Curated	TISSUES is a database of protein expression evidence for tissues and cell types, using evidence collected by integrating experimental datasets, by manual literature curation, or by automated textmining.  Tissue and cell type terms were mapped to the BRENDA Tissue Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-tissue/cell type associations.	protein tissue expression evidence scores by manual literature curation	gene-tissue associations by integrating evidence from manual literature curation	tissue	tissue or cell line	16216	643	http://tissues.jensenlab.org/Search	http://download.jensenlab.org/human_tissue_knowledge_full.tsv	http://tissues.jensenlab.org/About	20150202	notspecified	Santos, A., Tsafou, K., Stolte, C., Frankild, S., O'Donoghue, S. and L. J. Jensen. (2014) Comprehensive comparison of large-scale tissue expression datasets. Biorxiv Preprint. doi:10.1101/010975.	notspecified	jensentissuecurated	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Diseases Curated	DISEASES is a database of evidence for disease-gene associations, using evidence collected by integrating experimental datasets (GWAS), by manual literature curation, or by automated textmining.  Disease terms were mapped to the Disease Ontology.  Data from disparate sources were standardized by assigning confidence scores for all disease-gene associations.	disease gene evidence scores by manual literature curation	gene-disease associations by integrating evidence from manual literature curation	disease	phenotype	2252	770	http://diseases.jensenlab.org/Search	http://download.jensenlab.org/human_disease_knowledge_full.tsv	http://diseases.jensenlab.org/About	20150202	25484339	Pletscher-Frankild, S., Palleja, A., Tsafou, K., Binder, J. X. and L. J. Jensen. (2015) DISEASES: Text mining and data integration of disease-gene associations. Methods. 74:83-89.	notspecified	jensendiseasecurated	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Compartments Experimental	COMPARTMENTS is a database of protein subcellular localization evidence, using evidence collected by integrating experimental datasets, by integrating sequence-based predictions, by manual literature curation, or by automated textmining.  Subcellular structure/compartment terms were mapped to the Cellular Component subset of the Gene Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-compartment associations.	protein subcellular localization evidence scores by integrating experimental data	gene-cellular compartment associations by integrating evidence from experimental studies	cellular compartment	functional phrase	6495	59	http://compartments.jensenlab.org/Search	http://download.jensenlab.org/human_compartment_experiments_full.tsv	http://compartments.jensenlab.org/About	20150202	24573882	Binder, J. X., Pletscher-Frankild, S., Tsafou, K., Stolte, C., O'Donoghue, S. I., Schneider, R. and L. J. Jensen. (2014) COMPARTMENTS: unification and visualization of protein subcellular localization evidence. Database. 2014:bau012.	notspecified	jensencompartmentexpts	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Tissues Experimental	TISSUES is a database of protein expression evidence for tissues and cell types, using evidence collected by integrating experimental datasets, by manual literature curation, or by automated textmining.  Tissue and cell type terms were mapped to the BRENDA Tissue Ontology.  Data from disparate sources were standardized by assigning confidence scores for all protein-tissue/cell type associations.	protein tissue expression evidence scores by integrating experimental data	gene-tissue associations by integrating evidence from experimental studies	tissue	tissue or cell line	15505	243	http://tissues.jensenlab.org/Search	http://download.jensenlab.org/human_tissue_experiments_full.tsv	http://tissues.jensenlab.org/About	20150202	notspecified	Santos, A., Tsafou, K., Stolte, C., Frankild, S., O'Donoghue, S. and L. J. Jensen. (2014) Comprehensive comparison of large-scale tissue expression datasets. Biorxiv Preprint. doi:10.1101/010975.	notspecified	jensentissueexpts	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Diseases Experimental	DISEASES is a database of evidence for disease-gene associations, using evidence collected by integrating experimental datasets (GWAS), by manual literature curation, or by automated textmining.  Disease terms were mapped to the Disease Ontology.  Data from disparate sources were standardized by assigning confidence scores for all disease-gene associations.	disease gene evidence scores by integrating experimental data (GWAS)	gene-disease associations by integrating evidence from experimental studies	disease	phenotype	4055	350	http://diseases.jensenlab.org/Search	http://download.jensenlab.org/human_disease_experiments_full.tsv	http://diseases.jensenlab.org/About	20150202	25484339	Pletscher-Frankild, S., Palleja, A., Tsafou, K., Binder, J. X. and L. J. Jensen. (2015) DISEASES: Text mining and data integration of disease-gene associations. Methods. 74:83-89.	notspecified	jensendiseaseexpts	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Mammalian Phenotype Ontology (MPO)	The Mammalian Phenotype Ontology developed by Mouse Genome Informatics (MGI) at the Jackson Laboratory is a controlled vocabulary of mouse phenotype terms that are related to each other in a hierarchical network.  Each phenotype is annotated with the genotypes of the mice that display the phenotype.	observed phenotypes of transgenic mice collected from mouse phenotyping studies	gene-phenotype associations from phenotyping studies of knockout mice	phenotype	phenotype	7798	8579	http://www.informatics.jax.org/phenotypes.shtml	ftp://ftp.informatics.jax.org/pub/reports/MGI_PhenoGenoMP.rpt;ftp://ftp.informatics.jax.org/pub/reports/MRK_List2.rpt;ftp://ftp.informatics.jax.org/pub/reports/HMD_HumanPhenotype.rpt;ftp://ftp.informatics.jax.org/pub/reports/MGI_PhenotypicAllele.rpt;ftp://ftp.informatics.jax.org/pub/reports/MPheno_OBO.ontology	ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno	20150209	24285300	Blake, J.A. et al. (2014) The Mouse Genome Database: integration of and access to knowledge about the laboratory mouse. Nucleic Acids Research. 42:D810-817.	notspecified	mgimpo	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Genomics of Drug Sensitivity in Cancer (GDSC)	Genomics of Drug Sensitivity in Cancer is a database of gene expression, genotype, and drug sensitivity data for human cancer cell lines.	mRnotspecified expression profiles for cancer cell lines measured by microarray	gene-cell line associations by differential expression of gene across cell lines	cell line	tissue or cell line	11704	624	http://www.cancerrxgene.org/	ftp://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/release-5.0/expU133A.txt.zip;ftp://ftp.sanger.ac.uk/pub/project/cancerrxgene/releases/release-5.0/gdsc_cell_lines_w5.csv	http://www.cancerrxgene.org/downloads/	notspecified	22460902	Garnett, M. J. et al. (2012) Systematic identification of genomic markers of drug sensitivity in cancer cells. Nature. 483:570-575.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Cancer Cell Line Encyclopedia (CCLE) mRnotspecified	The Cancer Cell Line Encyclopedia is a database of gene expression, genotype, and drug sensitivity data for human cancer cell lines.	mRnotspecified expression profiles for cancer cell lines measured by microarray	gene-cell line associations by differential expression of gene across cell lines	cell line	tissue or cell line	18025	1037	http://www.broadinstitute.org/ccle/home	http://www.broadinstitute.org/ccle/downloadFile/DefaultSystemRoot/exp_10/ds_21/CCLE_Expression_Entrez_2012-09-29.gct?downloadff=true&fileId=6763;http://www.broadinstitute.org/ccle/downloadFile/DefaultSystemRoot/exp_10/ds_22/CCLE_sample_info_file_2012-10-18.txt?downloadff=true&fileId=6801	http://www.broadinstitute.org/ccle/data/browseData?conversationPropagation=begin	notspecified	22460905	Barretina, J. et al. (2012) The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity. Nature. 483:603-607.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Catalogue of Somatic Mutations In Cancer (COSMIC) MUT	The Catalogue of Somatic Mutations in Cancer is a database of information about somatic mutations in cancer obtained from curation of relevant literature and from high-throughput sequencing data generated by the Cancer Genome Project and other cancer profiling projects such as The Cancer Genome Atlas.  Specifically, COSMIC collects information about point mutations, gene fusions, genomic rearrangements, and copy number variation in cancer tissue samples and cancer cell lines.	gene mutations in cancer cell lines curated from low-throughput or high-throughput studies	gene-cell line associations by mutation of gene in cell line	cell line	tissue or cell line	17972	1026	http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/	http://cancer.sanger.ac.uk/files/cell_lines/current_release/CosmicCLP_MutantExport.tsv.gz	http://cancer.sanger.ac.uk/cancergenome/projects/cell_lines/download	notspecified	20952405	Forbes, S. A. et al. (2011) COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer. Nucleic Acids Research. 39:D945-D950.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Catalogue of Somatic Mutations In Cancer (COSMIC) CNV	The Catalogue of Somatic Mutations in Cancer is a database of information about somatic mutations in cancer obtained from curation of relevant literature and from high-throughput sequencing data generated by the Cancer Genome Project and other cancer profiling projects such as The Cancer Genome Atlas.  Specifically, COSMIC collects information about point mutations, gene fusions, genomic rearrangements, and copy number variation in cancer tissue samples and cancer cell lines.	gene-level copy number profiles for cancer cell lines measured by SNP microarray	gene-cell line associations by copy number variation of gene across cell lines	cell line	tissue or cell line	19757	950	http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/	http://cancer.sanger.ac.uk/files/cell_lines/current_release/CosmicCLPCompleteCnotspecified.tsv.gz	http://cancer.sanger.ac.uk/cancergenome/projects/cell_lines/download	notspecified	20952405	Forbes, S. A. et al. (2011) COSMIC: mining complete cancer genomes in the Catalogue of Somatic Mutations in Cancer. Nucleic Acids Research. 39:D945-D950.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Cancer Cell Line Encyclopedia (CCLE) CNV	The Cancer Cell Line Encyclopedia is a database of gene expression, genotype, and drug sensitivity data for human cancer cell lines.	gene-level copy number profiles for cancer cell lines measured by SNP microarray	gene-cell line associations by copy number variation of gene across cell lines	cell line	tissue or cell line	23264	1043	http://www.broadinstitute.org/ccle/home	http://www.broadinstitute.org/ccle/downloadFile/DefaultSystemRoot/exp_10/ds_20/CCLE_copynumber_byGene_2013-12-03.txt.gz?downloadff=true&fileId=17599;http://www.broadinstitute.org/ccle/downloadFile/DefaultSystemRoot/exp_10/ds_22/CCLE_sample_info_file_2012-10-18.txt?downloadff=true&fileId=6801	http://www.broadinstitute.org/ccle/data/browseData?conversationPropagation=begin	notspecified	22460905	Barretina, J. et al. (2012) The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity. Nature. 483:603-607.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Achilles	The Cancer Target Discovery and Development Network is a cancer phenotyping project that seeks to identify novel cancer drug targets and novel biomarkers for diagnosis of cancer and prediction of drug response.  Libraries of small molecules, cDnotspecified over-expression vectors, and siRnotspecified knockdown vectors are used to perturb molecular signaling pathways in cancer cell lines, and cell fitness is assayed by measuring the rate of cell proliferation.  Achilles is a CTD2 project that performed shRnotspecified-mediated gene knockdown followed by proliferation rate quantification to assess the essentiality of genes for cell proliferation in a panel of cell lines.	fitness scores for cell lines following single gene knockdowns	gene-cell line associations by sensitivity of cell line to gene knockdown	cell line	tissue or cell line	4831	216	http://www.broadinstitute.org/achilles	http://www.broadinstitute.org/achilles/datasets/5/download/Achilles_QC_v2.4.3.rnai.Gs.gct;http://www.broadinstitute.org/achilles/datasets/5/download/Achilles_v2.4_SampleInfo_small.txt	http://www.broadinstitute.org/achilles/datasets/5/download/Achilles_Analysis_README_v2.4.3.txt	notspecified	20829823;21746896	CTD2 Network (2010) Towards patient-based cancer therapeutics. Nature Biotechnology. 28:904-906.;Cheung, H.W. et al. (2011) Systematic investigation of genetic vulnerabilities across cancer cell lines reveals lineage-specific dependencies in ovarian cancer. PnotspecifiedS. 108:12372-12377.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
LINCS L1000 Connectivity Map (CMAP)	The L1000 Connectivity Map is a Library of Integrated Network-based Cellular Signatures (LINCS) project that is profiling gene expression changes following pharmacologic or genetic (knockdown or over-expression) perturbation of cell lines in high-throughput (approximately 20000 compounds, 4500 knockdowns, and 3000 over-expressions).  The majority of the knockdown perturbations were applied to a core set of 8 cell lines, A375, A549, HA1E, HCC515, HEPG2, HT29, MCF7, and PC3, and most gene expression profiles were measured 96 hours after knockdown.  A signature of differentially expressed (DE) genes can be obtained from a set of control and perturbed gene expression profiles by applying a statistical method such as the Characteristic Direction.  The signature of DE genes usually takes the form of a list of genes ordered by the direction (up-regulated or down-regulated) and significance of the gene expression change.  A number that indicates the relative significance of differential expression can be included with each gene.	mRnotspecified expression profiles for cell lines following pharmacologic (small molecule) or genetic (knock-down or over-expression) perturbation measured using the L1000 bead-based expression assay	gene-gene associations by differential expression of gene A following knockdown of gene B	gene	gene	3641	12505	http://www.lincscloud.org/l1000/	see notes	http://download.lincscloud.org/	notspecified	24906883	Duan, Q. et al. (2014) LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures. Nucleic Acids Research.	data were downloaded from the cloud via Amazon S3	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
LINCS L1000 Connectivity Map (CMAP) Co-expression	The L1000 Connectivity Map is a Library of Integrated Network-based Cellular Signatures (LINCS) project that is profiling gene expression changes following pharmacologic or genetic (knockdown or over-expression) perturbation of cell lines in high-throughput (approximately 20000 compounds, 4500 knockdowns, and 3000 over-expressions).  The majority of the knockdown perturbations were applied to a core set of 8 cell lines, A375, A549, HA1E, HCC515, HEPG2, HT29, MCF7, and PC3, and most gene expression profiles were measured 96 hours after knockdown.	mRnotspecified expression profiles for cell lines following pharmacologic (small molecule) or genetic (knock-down or over-expression) perturbation measured using the L1000 bead-based expression assay	gene-perturbation associations by differential expression of gene across perturbations	perturbation	perturbation	notspecified	notspecified	http://www.lincscloud.org/l1000/	see notes	http://download.lincscloud.org/	notspecified	24906883	Duan, Q. et al. (2014) LINCS Canvas Browser: interactive web app to query, browse and interrogate LINCS L1000 gene expression signatures. Nucleic Acids Research.	data were downloaded from the cloud via Amazon S3	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
MotifMap	MotifMap is a database of transcription factor binding sites computationally predicted using an algorithm to score the probability that a segment of the genome matches one of 380 transcription factor binding motifs.	putative regulatory transcription factors of genes predicted computationally by searching the genome for transcription factor binding site motifs	gene-transcription factor associations computationally predicted by transcription factor binding site motif search	transcription factor	gene	20432	332	http://motifmap.ics.uci.edu/	http://www.igb.uci.edu/~motifmap/motifmap/HUMAN/hg19/multiz46way_placental/HUMAN.hg19_multiz46way.tar.bz2	notspecified	notspecified	19017655	Xie, X., Rigor, P. and P. Baldi. (2009) MotifMap: a human genome-wide map of candidate regulatory motif sites. Bioinformatics. 25:167:174.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Encyclopedia of Dnotspecified Elements (ENCODE)	The Encyclopedia of Dnotspecified Elements is a genome mapping project that seeks to annotate the human genome with information about genes and elements that regulate gene transcription, such as transcription factor binding sites.  So far, the ENCODE project has completed over 1000 assays for mapping transcription factor binding sites using ChIP-Seq.  Chromatin immuno-precipitation followed by sequencing (ChIP-Seq) is a method for identifying transcription factor binding sites that involves isolation and sequencing of short strands of Dnotspecified to which an immuno-precipitated transcription factor was bound.  Subsequently, target genes of transcription factors can be inferred based on the proximity of transcription factor binding sites to transcription start sites of genes.	transcription factor binding site profiles for cell lines measured by ChIP-seq	gene-transcription factor associations by binding of transcription factor near transcription start site of gene	transcription factor	gene	22308	1259	https://www.encodeproject.org/	see notes	https://www.encodeproject.org/help/getting-started/	notspecified	15499007;21526222	ENCODE Consortium. (2004) The ENCODE (ENCyclopedia Of Dnotspecified Elements) Project. Science. 306:636-640.;ENCODE Consortium. (2011) A User's Guide to the Encyclopedia of Dnotspecified Elements (ENCODE). PLoS Biology. 9:e1001046.	data were downloaded using the encode api	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Encyclopedia of Dnotspecified Elements (ENCODE)	The Encyclopedia of Dnotspecified Elements is a genome mapping project that seeks to annotate the human genome with information about genes and elements that regulate gene transcription, such as transcription factor binding sites.  So far, the ENCODE project has completed over 1000 assays for mapping transcription factor binding sites using ChIP-Seq.  Chromatin immuno-precipitation followed by sequencing (ChIP-Seq) is a method for identifying transcription factor binding sites that involves isolation and sequencing of short strands of Dnotspecified to which an immuno-precipitated transcription factor was bound.  Subsequently, target genes of transcription factors can be inferred based on the proximity of transcription factor binding sites to transcription start sites of genes.	transcription factor binding site profiles for cell lines measured by ChIP-seq	gene-cell line sample associations by differential binding of transcription factor to gene across cell lines	cell line sample (sample defined by cell line and transcription factor)	tissue or cell line	22308	1259	https://www.encodeproject.org/	see notes	https://www.encodeproject.org/help/getting-started/	notspecified	15499007;21526222	ENCODE Consortium. (2004) The ENCODE (ENCyclopedia Of Dnotspecified Elements) Project. Science. 306:636-640.;ENCODE Consortium. (2011) A User's Guide to the Encyclopedia of Dnotspecified Elements (ENCODE). PLoS Biology. 9:e1001046.	data were downloaded using the encode api	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
ChIP-X Enrichment Analysis (CHEA)	ChIP-X Enrichment Analysis is a gene-set enrichment analysis tool tailored to test if query gene-sets are enriched with genes that are putative targets of transcription factors.  ChEA utilizes a gene-set library with transcription factors labeling sets of putative target genes curated from published ChIP-chip, ChIP-seq, ChIP-PET, and DamID experiments.	putative regulatory transcription factors of genes curated from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies	gene-transcription factor associations by binding of transcription factor near transcription start site of gene	transcription factor	gene	18928	240	http://amp.pharm.mssm.edu/lib/chea.jsp	http://amp.pharm.mssm.edu/result/kea/chea-background.zip	http://amp.pharm.mssm.edu/lib/cheadownload.jsp	notspecified	20709693	Lachmann, A. et al. (2010) ChEA: transcription factor regulation inferred from integrating genome-wide ChIP-X experiments. Bioinformatics. 26:2438-2444.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
MiRTarBase	database of experimentally validated microRnotspecified targets	microRnotspecified-target gene interactions	gene-microRnotspecified associations from low-throughput or high-throughput microRnotspecified targeting studies	microRnotspecified	gene	notspecified	notspecified	http://mirtarbase.mbc.nctu.edu.tw/	http://mirtarbase.mbc.nctu.edu.tw/cache/download/4.5/hsa_MTI.xls	http://mirtarbase.mbc.nctu.edu.tw/php/download.php	notspecified	24304892	Hsu, S. D., Tseng, Y. T., Shrestha, S., Lin, Y. L., Khaleel, A., Chou, C. H., Chu, C. F., Huang, H. Y., Lin, C. M., Ho, S. Y., Jian, T. Y., Lin, F. M., Chang, T. H., Weng, S. L., Liao, K. W., Liao, I. E., Liu, C. C. and H. D. Huang. (2014) miRTarBase update 2014: an information resource for experimentally validated miRnotspecified-target interactions. Nucleic Acids Res. 42:D78-D85.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
DrugBank	knowledgebase for drugs and their targets	drug-target interactions by manual literature curation	gene-drug associations by manual literature curation	drug	small molecule	notspecified	notspecified	http://www.drugbank.ca/	http://www.drugbank.ca/system/downloads/current/all_target_ids_all.csv.zip;http://www.drugbank.ca/system/downloads/current/all_enzyme_ids_all.csv.zip;http://www.drugbank.ca/system/downloads/current/all_carrier_ids_all.csv.zip;http://www.drugbank.ca/system/downloads/current/all_transporter_ids_all.csv.zip	http://www.drugbank.ca/downloads#protein-identifiers	notspecified	21059682	Knox, C., Law, V., Jewison, T., Liu, P., Ly, S., Frolkis, A., Pon, A., Banco, K., Mak, C., Neveu, V., Djoumbou, Y., Eisner, R., Guo, A. C. and D. S. Wishart. (2011) DrugBank 3.0: a comprehensive resource for 'omics' research on drugs. Nucleic Acids Research. 39:D1035-1041.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Human Protein Atlas (HPA) Cell Line mRnotspecified	The Human Protein Atlas is a database of protein expression measured by immunohistochemistry (semi-quantitative) and gene expression measured by Rnotspecified-seq for many human tissues and cell lines.	mRnotspecified expression profiles for cell lines measured by Rnotspecified-Seq	gene-cell line associations by differential expression of gene across cell lines	cell line	tissue or cell line	15372	43	http://www.proteinatlas.org/	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419__Excel_TablesS1-S18.xlsx;http://www.proteinatlas.org/download/rna.csv.zip	http://www.sciencemag.org/content/suppl/2015/01/21/347.6220.1260419.DC1/1260419_Uhlen.SM.pdf;http://www.proteinatlas.org/about/download	notspecified	25613900	Uhlen, M., Fagerberg, L., Hallstrom, B. M., Lindskog, C., Oksvold, P., Mardinoglu, A., Sivertsson, A., Kampf, C., Sjostedt, E., Asplund, A., Olsson, I., Edlund, K.,Lundberg, E., Navani, S., Szigyarto, C. A., Odeberg, J., Djureinovic, D., Takanen, J. O., Hober, S., Alm, T., Edqvist, P. H., Berling, H., Tegel, H., Mulder, J., Rockberg, J., Nilsson, P., Schwenk, J. M., Hamsten, M., von Feilitzen, K., Forsberg, M., Persson, L., Johansson, F., Zwahlen, M., von Heijne, G., Nielsen, J. and F. Ponten. (2015) Tissue-based map of the human proteome. Science. 347:1260419.	Supplementary Table 11 from the publication supplementary data file	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
